// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 980 y: 645
n: Sanders Hot Wings d: They serve spicy chicken wings and provide excellent music.
type: Gig
days: 1,0,1,0,1,0,0
times: 15:00,N,15:00,N,11:00,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1170
min_bandrating: 0.65
grade: C+
// Drug Dealer
x: 1160 y: 450
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
// Record Deal
x: 1470 y: 600
n: Venom Snake Records d: 
type: Record Deal
record_rank: C
min_bandrating: 0.6
min_fans: 40000
min_albums: 5
min_albumrating: 0.5
distribution_power: 1.4
revenue_share: 0.3
album_type: LP
studio_discount: 0.3
studio_locations: Big Mineral Studio
videoclip_discount: 0.25
videoclip_count: 1
videoclip_locations: Medieval Times Studio
upfront_money: 9000
revenue_affect: 0.5
songs_required: 6
songs_minimum_rating: 0.65
videoclips_required: 2
gigs_required: 3
gigs_locations: The Cultist#The Boxer#Mamas Brew
fine_amount: 5000
cancel_cooldown: 40
due_date: 26
