// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1420 y: 345
n: Ground Zero d: Rumors say that this bar emits a life force that keeps the entire universe intact. Just a rumor though.
type: Gig
days: 0,1,0,0,0,0,1
times: N,12:30,N,N,N,N,18:00
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1320
min_bandrating: 0.73
grade: B+
// Bar
x: 800 y: 500
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
// Record Deal
x: 1070 y: 600
n: Savage Milkshake Records d: 
type: Record Deal
record_rank: B
min_bandrating: 0.73
min_fans: 100000
min_albums: 7
min_albumrating: 0.7
distribution_power: 1.7
revenue_share: 0.3
album_type: LP
studio_discount: 0.3
studio_locations: Hilltop View Studio
videoclip_discount: 0.3
videoclip_count: 1
videoclip_locations: Middle Ground Studio
upfront_money: 18000
revenue_affect: 0.5
songs_required: 6
songs_minimum_rating: 0.72
videoclips_required: 2
gigs_required: 2
gigs_locations: The Nuggets#Savage Grandmother 
fine_amount: 15000
cancel_cooldown: 45
due_date: 26
