// Map Data: USA, Montpelier (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1380 y: 680
n: Topik Banger Venue d: A decent looking venue is a nice change for once. They serve orange juice for free too.
type: Gig
days: 0,1,0,0,0,0,0
times: N,16:30,N,N,N,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1000
min_bandrating: 0.50
grade: C-
// Record Deal
x: 870 y: 600
n: Car Jacker Records d: 
type: Record Deal
record_rank: C-
min_bandrating: 0.50
min_fans: 13000
min_albums: 5
min_albumrating: 0.4
distribution_power: 1.2
revenue_share: 0.3
album_type: EP
studio_discount: 0
studio_locations: 
videoclip_discount: 0.30
videoclip_count: 1
videoclip_locations: Rebirth Studio
upfront_money: 4000
revenue_affect: 0.5
songs_required: 4
songs_minimum_rating: 0.5
videoclips_required: 1
gigs_required: 2
gigs_locations: Braveheart Venue#Topik Banger Venue
fine_amount: 2000
cancel_cooldown: 38
due_date: 27
// Bar
x: 1530 y: 580
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
